SampleName,Study,Genotype,Radiation,Timepoint,Replicate,OriginalID
OSD508_sog1_1_gammaCo60_100Gy_720min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,720min,1,GSM3082867
OSD508_sog1_1_gammaCo60_100Gy_720min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,720min,2,GSM3082868
OSD508_sog1_1_gammaCo60_100Gy_1440min_Rep1,OSD508,sog1_1,gammaCo60_100Gy,1440min,1,GSM3082869
OSD508_sog1_1_gammaCo60_100Gy_1440min_Rep2,OSD508,sog1_1,gammaCo60_100Gy,1440min,2,GSM3082870
OSD510_WT_gammaCo60_100Gy_20min_Rep1,OSD510,WT,gammaCo60_100Gy,20min,1,GSM3072302
OSD510_WT_gammaCo60_100Gy_20min_Rep2,OSD510,WT,gammaCo60_100Gy,20min,2,GSM3072303
OSD510_WT_gammaCo60_100Gy_90min_Rep1,OSD510,WT,gammaCo60_100Gy,90min,1,GSM3072304
OSD510_WT_gammaCo60_100Gy_90min_Rep2,OSD510,WT,gammaCo60_100Gy,90min,2,GSM3072305
OSD510_WT_gammaCo60_100Gy_180min_Rep1,OSD510,WT,gammaCo60_100Gy,180min,1,GSM3072306
OSD510_WT_gammaCo60_100Gy_180min_Rep2,OSD510,WT,gammaCo60_100Gy,180min,2,GSM3072307
OSD510_WT_gammaCo60_100Gy_360min_Rep1,OSD510,WT,gammaCo60_100Gy,360min,1,GSM3072308
OSD510_WT_gammaCo60_100Gy_360min_Rep2,OSD510,WT,gammaCo60_100Gy,360min,2,GSM3072309
OSD510_WT_gammaCo60_100Gy_720min_Rep1,OSD510,WT,gammaCo60_100Gy,720min,1,GSM3072310
OSD510_WT_gammaCo60_100Gy_720min_Rep2,OSD510,WT,gammaCo60_100Gy,720min,2,GSM3072311
OSD510_WT_gammaCo60_100Gy_1440min_Rep1,OSD510,WT,gammaCo60_100Gy,1440min,1,GSM3072312
OSD510_WT_gammaCo60_100Gy_1440min_Rep2,OSD510,WT,gammaCo60_100Gy,1440min,2,GSM3072313
OSD510_WT_none_20min_Rep1,OSD510,WT,none,20min,1,GSM3072314
OSD510_WT_none_20min_Rep2,OSD510,WT,none,20min,2,GSM3072315
OSD510_WT_none_90min_Rep1,OSD510,WT,none,90min,1,GSM3072316
OSD510_WT_none_90min_Rep2,OSD510,WT,none,90min,2,GSM3072317
OSD510_WT_none_180min_Rep1,OSD510,WT,none,180min,1,GSM3072318
OSD510_WT_none_180min_Rep2,OSD510,WT,none,180min,2,GSM3072319
OSD510_WT_none_360min_Rep1,OSD510,WT,none,360min,1,GSM3072320
OSD510_WT_none_360min_Rep2,OSD510,WT,none,360min,2,GSM3072321
OSD510_WT_none_720min_Rep1,OSD510,WT,none,720min,1,GSM3072322
OSD510_WT_none_720min_Rep2,OSD510,WT,none,720min,2,GSM3072323
OSD510_WT_none_1440min_Rep1,OSD510,WT,none,1440min,1,GSM3072324
OSD510_WT_none_1440min_Rep2,OSD510,WT,none,1440min,2,GSM3072325
OSD510_sog1_1_gammaCo60_100Gy_20min_Rep1,OSD510,sog1_1,gammaCo60_100Gy,20min,1,GSM3072326
OSD510_sog1_1_gammaCo60_100Gy_20min_Rep2,OSD510,sog1_1,gammaCo60_100Gy,20min,2,GSM3072327
OSD510_sog1_1_gammaCo60_100Gy_90min_Rep1,OSD510,sog1_1,gammaCo60_100Gy,90min,1,GSM3072328
OSD510_sog1_1_gammaCo60_100Gy_90min_Rep2,OSD510,sog1_1,gammaCo60_100Gy,90min,2,GSM3072329
OSD510_sog1_1_gammaCo60_100Gy_180min_Rep1,OSD510,sog1_1,gammaCo60_100Gy,180min,1,GSM3072330
OSD510_sog1_1_gammaCo60_100Gy_180min_Rep2,OSD510,sog1_1,gammaCo60_100Gy,180min,2,GSM3072331
OSD510_sog1_1_gammaCo60_100Gy_360min_Rep1,OSD510,sog1_1,gammaCo60_100Gy,360min,1,GSM3072332
OSD510_sog1_1_gammaCo60_100Gy_360min_Rep2,OSD510,sog1_1,gammaCo60_100Gy,360min,2,GSM3072333
OSD510_sog1_1_gammaCo60_100Gy_720min_Rep1,OSD510,sog1_1,gammaCo60_100Gy,720min,1,GSM3072334
OSD510_sog1_1_gammaCo60_100Gy_720min_Rep2,OSD510,sog1_1,gammaCo60_100Gy,720min,2,GSM3072335
OSD510_sog1_1_gammaCo60_100Gy_1440min_Rep1,OSD510,sog1_1,gammaCo60_100Gy,1440min,1,GSM3072336
OSD510_sog1_1_gammaCo60_100Gy_1440min_Rep2,OSD510,sog1_1,gammaCo60_100Gy,1440min,2,GSM3072337
OSD510_sog1_1_none_20min_Rep1,OSD510,sog1_1,none,20min,1,GSM3072338
OSD510_sog1_1_none_20min_Rep2,OSD510,sog1_1,none,20min,2,GSM3072339
OSD510_sog1_1_none_90min_Rep1,OSD510,sog1_1,none,90min,1,GSM3072340
OSD510_sog1_1_none_90min_Rep2,OSD510,sog1_1,none,90min,2,GSM3072341
OSD510_sog1_1_none_180min_Rep1,OSD510,sog1_1,none,180min,1,GSM3072342
OSD510_sog1_1_none_180min_Rep2,OSD510,sog1_1,none,180min,2,GSM3072343
OSD510_sog1_1_none_360min_Rep1,OSD510,sog1_1,none,360min,1,GSM3072344
OSD510_sog1_1_none_360min_Rep2,OSD510,sog1_1,none,360min,2,GSM3072345
OSD510_sog1_1_none_720min_Rep1,OSD510,sog1_1,none,720min,1,GSM3072346
OSD510_sog1_1_none_720min_Rep2,OSD510,sog1_1,none,720min,2,GSM3072347
OSD510_sog1_1_none_1440min_Rep1,OSD510,sog1_1,none,1440min,1,GSM3072348
OSD510_sog1_1_none_1440min_Rep2,OSD510,sog1_1,none,1440min,2,GSM3072349
OSD658_WT_none_NA_Rep1,OSD658,WT,none,NA,1,CWRU004174_S1
OSD658_WT_none_NA_Rep2,OSD658,WT,none,NA,2,CWRU004175_S2
OSD658_WT_none_NA_Rep3,OSD658,WT,none,NA,3,CWRU004176_S3
OSD658_WT_GCR_40cGy_NA_Rep1,OSD658,WT,GCR_40cGy,NA,1,CWRU004177_S4
OSD658_WT_GCR_40cGy_NA_Rep2,OSD658,WT,GCR_40cGy,NA,2,CWRU004178_S5
OSD658_WT_GCR_40cGy_NA_Rep3,OSD658,WT,GCR_40cGy,NA,3,CWRU004179_S6
OSD658_WT_GCR_40cGy_NA_Rep4,OSD658,WT,GCR_40cGy,NA,4,CWRU004180_S7
OSD658_WT_none_NA_Rep4,OSD658,WT,none,NA,4,CWRU004181_S8
OSD658_WT_none_NA_Rep5,OSD658,WT,none,NA,5,CWRU004182_S9
OSD658_WT_none_NA_Rep6,OSD658,WT,none,NA,6,CWRU004183_S10
OSD658_WT_GCR_80cGy_NA_Rep1,OSD658,WT,GCR_80cGy,NA,1,CWRU004184_S11
OSD658_WT_GCR_80cGy_NA_Rep2,OSD658,WT,GCR_80cGy,NA,2,CWRU004185_S12
OSD658_WT_GCR_80cGy_NA_Rep3,OSD658,WT,GCR_80cGy,NA,3,CWRU004186_S13
OSD658_WT_GCR_80cGy_NA_Rep4,OSD658,WT,GCR_80cGy,NA,4,CWRU004187_S14
OSD782_WT_none_1h_Rep1,OSD782,WT,none,1h,1,GSM7623649
OSD782_WT_none_1h_Rep2,OSD782,WT,none,1h,2,GSM7623650
OSD782_WT_none_1h_Rep3,OSD782,WT,none,1h,3,GSM7623651
OSD782_WT_gammaCs137_10cGy_1h_Rep1,OSD782,WT,gammaCs137_10cGy,1h,1,GSM7623652
OSD782_WT_gammaCs137_10cGy_1h_Rep2,OSD782,WT,gammaCs137_10cGy,1h,2,GSM7623653
OSD782_WT_gammaCs137_10cGy_1h_Rep3,OSD782,WT,gammaCs137_10cGy,1h,3,GSM7623654
OSD782_WT_gammaCs137_100cGy_1h_Rep1,OSD782,WT,gammaCs137_100cGy,1h,1,GSM7623655
OSD782_WT_gammaCs137_100cGy_1h_Rep2,OSD782,WT,gammaCs137_100cGy,1h,2,GSM7623656
OSD782_WT_gammaCs137_100cGy_1h_Rep3,OSD782,WT,gammaCs137_100cGy,1h,3,GSM7623657
OSD782_WT_none_3h_Rep1,OSD782,WT,none,3h,1,GSM7623658
OSD782_WT_none_3h_Rep2,OSD782,WT,none,3h,2,GSM7623659
OSD782_WT_none_3h_Rep3,OSD782,WT,none,3h,3,GSM7623660
OSD782_WT_gammaCs137_10cGy_3h_Rep1,OSD782,WT,gammaCs137_10cGy,3h,1,GSM7623661
OSD782_WT_gammaCs137_10cGy_3h_Rep2,OSD782,WT,gammaCs137_10cGy,3h,2,GSM7623662
OSD782_WT_gammaCs137_10cGy_3h_Rep3,OSD782,WT,gammaCs137_10cGy,3h,3,GSM7623663
OSD782_WT_gammaCs137_100cGy_3h_Rep1,OSD782,WT,gammaCs137_100cGy,3h,1,GSM7623664
OSD782_WT_gammaCs137_100cGy_3h_Rep2,OSD782,WT,gammaCs137_100cGy,3h,2,GSM7623665
OSD782_WT_gammaCs137_100cGy_3h_Rep3,OSD782,WT,gammaCs137_100cGy,3h,3,GSM7623666
OSD782_WT_none_24h_Rep1,OSD782,WT,none,24h,1,GSM7623667
OSD782_WT_none_24h_Rep2,OSD782,WT,none,24h,2,GSM7623668
OSD782_WT_none_24h_Rep3,OSD782,WT,none,24h,3,GSM7623669
OSD782_WT_gammaCs137_10cGy_24h_Rep1,OSD782,WT,gammaCs137_10cGy,24h,1,GSM7623670
OSD782_WT_gammaCs137_10cGy_24h_Rep2,OSD782,WT,gammaCs137_10cGy,24h,2,GSM7623671
OSD782_WT_gammaCs137_10cGy_24h_Rep3,OSD782,WT,gammaCs137_10cGy,24h,3,GSM7623672
OSD782_WT_gammaCs137_100cGy_24h_Rep1,OSD782,WT,gammaCs137_100cGy,24h,1,GSM7623673
OSD782_WT_gammaCs137_100cGy_24h_Rep2,OSD782,WT,gammaCs137_100cGy,24h,2,GSM7623674
OSD782_WT_gammaCs137_100cGy_24h_Rep3,OSD782,WT,gammaCs137_100cGy,24h,3,GSM7623675
OSD782_WT_none_72h_Rep1,OSD782,WT,none,72h,1,GSM7623676
OSD782_WT_none_72h_Rep2,OSD782,WT,none,72h,2,GSM7623677
OSD782_WT_none_72h_Rep3,OSD782,WT,none,72h,3,GSM7623678
OSD782_WT_gammaCs137_10cGy_72h_Rep1,OSD782,WT,gammaCs137_10cGy,72h,1,GSM7623679
OSD782_WT_gammaCs137_10cGy_72h_Rep2,OSD782,WT,gammaCs137_10cGy,72h,2,GSM7623680
OSD782_WT_gammaCs137_10cGy_72h_Rep3,OSD782,WT,gammaCs137_10cGy,72h,3,GSM7623681
OSD782_WT_gammaCs137_100cGy_72h_Rep1,OSD782,WT,gammaCs137_100cGy,72h,1,GSM7623682
OSD782_WT_gammaCs137_100cGy_72h_Rep2,OSD782,WT,gammaCs137_100cGy,72h,2,GSM7623683
OSD782_WT_gammaCs137_100cGy_72h_Rep3,OSD782,WT,gammaCs137_100cGy,72h,3,GSM7623684
