gene_id,category
AT2G21640,Co60_only
AT2G21750,Co60_only
AT2G21780,Co60_only
AT2G21790,Co60_only
AT2G21900,Co60_only
AT2G21910,Co60_only
AT2G22500,Co60_only
AT2G22880,Co60_only
AT2G23150,Co60_only
AT2G23270,Co60_only
AT2G23680,Co60_only
AT2G23810,Co60_only
AT2G23830,Co60_only
AT2G24255,Co60_only
AT2G24600,Co60_only
AT2G24850,Co60_only
AT2G25297,Co60_only
AT2G25370,Co60_only
AT2G25470,Co60_only
AT2G26190,Co60_only
AT2G26400,Co60_only
AT2G26530,Co60_only
AT2G27080,Co60_only
AT2G28570,Co60_only
AT2G28620,Co60_only
AT2G28680,Co60_only
AT2G29350,Co60_only
AT2G30250,Co60_only
AT2G30362,Co60_only
AT2G30660,Co60_only
AT2G30750,Co60_only
AT2G31050,Co60_only
AT2G31320,Co60_only
AT2G31865,Co60_only
AT2G31880,Co60_only
AT2G32020,Co60_only
AT2G32030,Co60_only
AT2G32140,Co60_only
AT2G32680,Co60_only
AT2G33130,Co60_only
AT2G33160,Co60_only
AT2G33580,Co60_only
AT2G34030,Co60_only
AT2G34190,Co60_only
AT2G34930,Co60_only
AT2G35070,Co60_only
AT2G35637,Co60_only
AT2G35710,Co60_only
AT2G36780,Co60_only
AT2G37770,Co60_only
AT2G38250,Co60_only
AT2G38470,Co60_only
AT2G38510,Co60_only
AT2G38790,Co60_only
AT2G39650,Co60_only
AT2G40000,Co60_only
AT2G40140,Co60_only
AT2G40350,Co60_only
AT2G40750,Co60_only
AT2G41010,Co60_only
AT2G41100,Co60_only
AT2G41105,Co60_only
AT2G41445,Co60_only
AT2G41630,Co60_only
AT2G41640,Co60_only
AT2G42110,Co60_only
AT2G43000,Co60_only
AT2G43860,Co60_only
AT2G44578,Co60_only
AT2G44840,Co60_only
AT2G45460,Co60_only
AT2G45570,Co60_only
AT2G45760,Co60_only
AT2G46400,Co60_only
AT2G46440,Co60_only
AT2G46610,Co60_only
AT2G47680,Co60_only
AT2G47780,Co60_only
AT3G01600,Co60_only
AT3G02400,Co60_only
AT3G02535,Co60_only
AT3G02640,Co60_only
AT3G02670,Co60_only
AT3G02810,Co60_only
AT3G03130,Co60_only
AT3G03470,Co60_only
AT3G04220,Co60_only
AT3G04640,Co60_only
AT3G05660,Co60_only
AT3G07800,Co60_only
AT3G08720,Co60_only
AT3G08810,Co60_only
AT3G09020,Co60_only
AT3G09405,Co60_only
AT3G09520,Co60_only
AT3G09830,Co60_only
AT3G09870,Co60_only
AT3G10500,Co60_only
AT3G10750,Co60_only
AT3G10780,Co60_only
AT3G11010,Co60_only
AT3G11773,Co60_only
AT3G11840,Co60_only
AT3G12220,Co60_only
AT3G12410,Co60_only
AT3G12510,Co60_only
AT3G12870,Co60_only
AT3G13080,Co60_only
AT3G13432,Co60_only
AT3G14700,Co60_only
AT3G16720,Co60_only
AT3G17690,Co60_only
AT3G19150,Co60_only
AT3G19210,Co60_only
AT3G19615,Co60_only
AT3G20490,Co60_only
AT3G21520,Co60_only
AT3G21780,Co60_only
AT3G21781,Co60_only
AT3G21840,Co60_only
AT3G21850,Co60_only
AT3G21860,Co60_only
AT3G22231,Co60_only
AT3G22235,Co60_only
AT3G23120,Co60_only
AT3G23230,Co60_only
AT3G23240,Co60_only
AT3G24900,Co60_only
AT3G25180,Co60_only
AT3G25882,Co60_only
AT3G26050,Co60_only
AT3G26830,Co60_only
AT3G27060,Co60_only
AT3G27070,Co60_only
AT3G27620,Co60_only
AT3G28340,Co60_only
AT3G28500,Co60_only
AT3G28510,Co60_only
AT3G28540,Co60_only
AT3G28580,Co60_only
AT3G28890,Co60_only
AT3G29340,Co60_only
AT3G42850,Co60_only
AT3G42860,Co60_only
AT3G44260,Co60_only
AT3G44350,Co60_only
AT3G44860,Co60_only
AT3G45490,Co60_only
AT3G45640,Co60_only
AT3G45730,Co60_only
AT3G45860,Co60_only
AT3G46090,Co60_only
AT3G46110,Co60_only
AT3G46600,Co60_only
AT3G47480,Co60_only
AT3G47540,Co60_only
AT3G48640,Co60_only
AT3G48770,Co60_only
AT3G48850,Co60_only
AT3G48960,Co60_only
AT3G49530,Co60_only
AT3G50060,Co60_only
AT3G50330,Co60_only
AT3G50390,Co60_only
AT3G50480,Co60_only
AT3G50770,Co60_only
AT3G50800,Co60_only
AT3G50930,Co60_only
AT3G51230,Co60_only
AT3G51280,Co60_only
AT3G51890,Co60_only
AT3G51930,Co60_only
AT3G52115,Co60_only
AT3G52345,Co60_only
AT3G52400,Co60_only
AT3G53040,Co60_only
AT3G53232,Co60_only
AT3G54150,Co60_only
AT3G54520,Co60_only
AT3G54730,Co60_only
AT3G55550,Co60_only
AT3G55660,Co60_only
AT3G55700,Co60_only
AT3G55840,Co60_only
AT3G55980,Co60_only
AT3G56100,Co60_only
AT3G56400,Co60_only
AT3G56710,Co60_only
AT3G56880,Co60_only
AT3G56920,Co60_only
AT3G57240,Co60_only
AT3G57260,Co60_only
AT3G57460,Co60_only
AT3G58270,Co60_only
AT3G59080,Co60_only
AT3G59450,Co60_only
AT3G60100,Co60_only
AT3G60160,Co60_only
AT3G60415,Co60_only
AT3G60470,Co60_only
AT3G60966,Co60_only
AT3G60970,Co60_only
AT3G61090,Co60_only
AT3G61118,Co60_only
AT3G61280,Co60_only
AT3G63380,Co60_only
AT4G00305,Co60_only
AT4G00970,Co60_only
AT4G01010,Co60_only
AT4G01180,Co60_only
AT4G01890,Co60_only
AT4G02110,Co60_only
AT4G02160,Co60_only
AT4G02390,Co60_only
AT4G02800,Co60_only
AT4G03450,Co60_only
AT4G04075,Co60_only
AT4G04490,Co60_only
AT4G04500,Co60_only
AT4G04510,Co60_only
AT4G04540,Co60_only
AT4G05380,Co60_only
AT4G08040,Co60_only
AT4G08245,Co60_only
AT4G08555,Co60_only
AT4G09240,Co60_only
AT4G09715,Co60_only
AT4G11000,Co60_only
AT4G11280,Co60_only
AT4G11393,Co60_only
AT4G11470,Co60_only
AT4G11521,Co60_only
AT4G11890,Co60_only
AT4G12490,Co60_only
AT4G12720,Co60_only
AT4G13480,Co60_only
AT4G13820,Co60_only
AT4G14365,Co60_only
AT4G14368,Co60_only
AT4G14450,Co60_only
AT4G14530,Co60_only
AT4G15975,Co60_only
AT4G16610,Co60_only
AT4G17490,Co60_only
AT4G17500,Co60_only
AT4G17660,Co60_only
AT4G17710,Co60_only
AT4G18195,Co60_only
AT4G18203,Co60_only
AT4G18250,Co60_only
AT4G18253,Co60_only
AT4G18880,Co60_only
AT4G18990,Co60_only
AT4G19130,Co60_only
AT4G19520,Co60_only
AT4G19570,Co60_only
AT4G21070,Co60_only
AT4G21840,Co60_only
AT4G22710,Co60_only
AT4G23130,Co60_only
AT4G23140,Co60_only
AT4G23150,Co60_only
AT4G23160,Co60_only
AT4G23170,Co60_only
AT4G23180,Co60_only
AT4G23190,Co60_only
AT4G23220,Co60_only
AT4G23230,Co60_only
AT4G23280,Co60_only
AT4G23310,Co60_only
AT4G23320,Co60_only
AT4G23610,Co60_only
AT4G23810,Co60_only
AT4G24380,Co60_only
AT4G24570,Co60_only
AT4G25330,Co60_only
AT4G25470,Co60_only
AT4G25490,Co60_only
AT4G25580,Co60_only
AT4G26120,Co60_only
AT4G26200,Co60_only
AT4G26460,Co60_only
AT4G26466,Co60_only
AT4G27150,Co60_only
AT4G27220,Co60_only
AT4G27280,Co60_only
AT4G27980,Co60_only
AT4G28950,Co60_only
AT4G29170,Co60_only
AT4G29780,Co60_only
AT4G30430,Co60_only
AT4G31640,Co60_only
AT4G31800,Co60_only
AT4G31840,Co60_only
AT4G31950,Co60_only
AT4G33050,Co60_only
AT4G34150,Co60_only
AT4G34300,Co60_only
AT4G34320,Co60_only
AT4G34510,Co60_only
AT4G35180,Co60_only
AT4G35740,Co60_only
AT4G36700,Co60_only
AT4G36795,Co60_only
AT4G37022,Co60_only
AT4G37030,Co60_only
AT4G37290,Co60_only
AT4G37420,Co60_only
AT4G37490,Co60_only
AT4G37990,Co60_only
AT4G38062,Co60_only
AT4G38140,Co60_only
AT4G38560,Co60_only
AT4G38590,Co60_only
AT4G39500,Co60_only
AT4G39580,Co60_only
AT4G39830,Co60_only
AT4G40020,Co60_only
AT5G00825,Co60_only
AT5G01100,Co60_only
AT5G01120,Co60_only
AT5G01420,Co60_only
AT5G01540,Co60_only
AT5G01542,Co60_only
AT5G01760,Co60_only
AT5G02220,Co60_only
AT5G02595,Co60_only
AT5G03350,Co60_only
AT5G03495,Co60_only
AT5G03780,Co60_only
AT5G04175,Co60_only
AT5G04340,Co60_only
AT5G05390,Co60_only
AT5G05765,Co60_only
AT5G05995,Co60_only
AT5G06150,Co60_only
AT5G06190,Co60_only
AT5G06320,Co60_only
AT5G06475,Co60_only
AT5G07165,Co60_only
AT5G07310,Co60_only
AT5G07600,Co60_only
AT5G07610,Co60_only
AT5G07620,Co60_only
AT5G07760,Co60_only
AT5G08275,Co60_only
AT5G08760,Co60_only
AT5G09290,Co60_only
AT5G09876,Co60_only
AT5G10120,Co60_only
AT5G10380,Co60_only
AT5G10695,Co60_only
AT5G10760,Co60_only
AT5G11140,Co60_only
AT5G11400,Co60_only
AT5G11410,Co60_only
AT5G11460,Co60_only
AT5G12030,Co60_only
AT5G13320,Co60_only
AT5G14490,Co60_only
AT5G14930,Co60_only
AT5G15380,Co60_only
AT5G16250,Co60_only
AT5G17150,Co60_only
AT5G17350,Co60_only
AT5G17522,Co60_only
AT5G18270,Co60_only
AT5G18407,Co60_only
AT5G18470,Co60_only
AT5G18490,Co60_only
AT5G19240,Co60_only
AT5G20850,Co60_only
AT5G22250,Co60_only
AT5G22380,Co60_only
AT5G22520,Co60_only
AT5G22530,Co60_only
AT5G22540,Co60_only
AT5G22545,Co60_only
AT5G22555,Co60_only
AT5G22570,Co60_only
AT5G22660,Co60_only
AT5G23910,Co60_only
AT5G24110,Co60_only
AT5G24200,Co60_only
AT5G24210,Co60_only
AT5G24280,Co60_only
AT5G25090,Co60_only
AT5G25250,Co60_only
AT5G25260,Co60_only
AT5G25930,Co60_only
AT5G26170,Co60_only
AT5G26690,Co60_only
AT5G26920,Co60_only
AT5G27760,Co60_only
AT5G28610,Co60_only
AT5G28630,Co60_only
AT5G33355,Co60_only
AT5G33399,Co60_only
AT5G36800,Co60_only
AT5G37247,Co60_only
AT5G37490,Co60_only
AT5G38240,Co60_only
AT5G38250,Co60_only
AT5G38910,Co60_only
AT5G39020,Co60_only
AT5G39670,Co60_only
AT5G40000,Co60_only
AT5G40010,Co60_only
AT5G40840,Co60_only
AT5G41550,Co60_only
AT5G41740,Co60_only
AT5G41750,Co60_only
AT5G42325,Co60_only
AT5G42530,Co60_only
AT5G43450,Co60_only
AT5G44420,Co60_only
AT5G44568,Co60_only
AT5G45340,Co60_only
AT5G45700,Co60_only
AT5G45990,Co60_only
AT5G46295,Co60_only
AT5G46540,Co60_only
AT5G46710,Co60_only
AT5G47070,Co60_only
AT5G47230,Co60_only
AT5G48020,Co60_only
AT5G48720,Co60_only
AT5G49110,Co60_only
AT5G49480,Co60_only
AT5G51190,Co60_only
AT5G51465,Co60_only
AT5G51480,Co60_only
AT5G51580,Co60_only
