gene_id,baseMean_old,log2FC_old,padj_old,deg_flag_old,baseMean_new,log2FC_new,padj_new,deg_flag_new,status,direction_change
AT1G13710,251.3353915,0.028382204,0.878332594,no,205.005608790418,0.0299446036656226,0.87612978184132,no,both_non_DEG,
AT1G13730,700.3497979,-0.19611437,0.013840281,yes,572.531584701874,-0.193582830138449,0.0149990147796286,no,lost_DEG,
AT1G13740,195.3623353,-0.039822792,0.807529518,no,159.598617413118,-0.0369380792771001,0.826354925010489,no,both_non_DEG,
AT1G13750,94.85490596,0.19258353,0.073498787,no,76.8574831063497,0.195579698130814,0.0720639243216517,no,both_non_DEG,
AT1G13770,143.6765273,-0.01583539,0.837927945,no,116.821445016185,-0.00879179666018227,0.914221495254651,no,both_non_DEG,
AT1G13780,87.655134,0.077632526,0.393455763,no,70.8907266416465,0.0904109804582532,0.299139303819641,no,both_non_DEG,
AT1G13790,119.7412207,0.264206492,0.000654751,yes,97.2523991220378,0.27125950305226,0.000570660306218193,no,lost_DEG,
AT1G13800,37.65563085,0.037605848,0.788195495,no,30.0096592364897,0.0316838955880593,0.832382432526658,no,both_non_DEG,
AT1G13805,,,,,0.16738046244453,-0.127386808038101,,no,,
AT1G13810,104.6195489,-0.006795813,0.954424163,no,84.84468467965,-0.00354225507978817,0.978241689375609,no,both_non_DEG,
AT1G13820,682.8342434,-0.125375962,0.038669778,yes,558.114995098593,-0.118884484978751,0.0545740729978473,no,lost_DEG,
AT1G13825,,,,,0.199909452651661,-0.217554355205899,,no,,
AT1G13830,69.60720647,-0.063729199,0.621371614,no,56.2243443837462,-0.0647185855445245,0.631157394443836,no,both_non_DEG,
AT1G13860,249.0283781,-0.012497647,0.879145142,no,203.620633395729,-0.0119996043707815,0.889905013199311,no,both_non_DEG,
AT1G13870,194.28113,-0.043769292,0.592675438,no,158.266684806083,-0.0426202211112873,0.614591226837098,no,both_non_DEG,
AT1G13880,259.0747322,0.035659171,0.592675438,no,211.282710984246,0.0453461893051939,0.481902934166165,no,both_non_DEG,
AT1G13900,387.2295029,-0.096500225,0.094473105,no,316.213660911058,-0.0941338805190758,0.112560791110465,no,both_non_DEG,
AT1G13910,55.8565639,0.072412656,0.578512635,no,44.938052377301,0.0651462975976189,0.627581091219057,no,both_non_DEG,
AT1G13920,68.18869404,0.320689031,0.001983976,yes,55.0150082907984,0.323300962986971,0.00268989549409017,no,lost_DEG,
AT1G13930,6131.938674,0.071174632,0.585688391,no,5022.04048836938,0.0745856845838368,0.573983381517721,no,both_non_DEG,
AT1G13940,250.0788051,0.009153276,0.903572538,no,203.996898696092,0.0129645968294687,0.863462624849436,no,both_non_DEG,
AT1G13950,100.3052305,0.060521913,0.426183538,no,81.3680438784989,0.0687705384614814,0.374635955659017,no,both_non_DEG,
AT1G13960,296.4288935,0.086890451,0.273111039,no,241.982117988591,0.095568919797304,0.217875685100524,no,both_non_DEG,
AT1G13970,96.4197886,-0.113760235,0.254101247,no,78.0678455256134,-0.113051460076136,0.283695463181156,no,both_non_DEG,
AT1G13980,717.7627478,0.038027646,0.571566993,no,586.816104942309,0.0451628759352261,0.487440568354031,no,both_non_DEG,
AT1G13990,135.78378,0.514564926,5.49e-06,yes,110.375811972902,0.525423398077408,3.99827762052828e-06,no,lost_DEG,
AT1G14000,795.0166153,0.105046037,0.006187219,yes,650.542927972521,0.108080607843287,0.0050464083144448,no,lost_DEG,
AT1G14010,327.5018134,0.006152513,0.936771155,no,268.002762617072,0.0115308037719517,0.877970057789281,no,both_non_DEG,
AT1G14020,270.3808164,-0.085461536,0.065191946,no,220.958944112723,-0.0844827962179711,0.0609439987157868,no,both_non_DEG,
AT1G14030,514.4326795,-0.19431065,0.003431822,yes,420.715086475419,-0.189329544629875,0.00408097323099666,no,lost_DEG,
AT1G14040,186.5588573,0.007137809,0.965723189,no,151.953780160449,0.0169048347648412,0.918174174821915,no,both_non_DEG,
AT1G14060,251.2374431,-0.077599354,0.350866646,no,204.906280355492,-0.0808857163919945,0.328235331809414,no,both_non_DEG,
AT1G14071,2.197840635,0.438806033,0.218910899,no,1.03728476295661,0.825906106925177,0.121114248298038,no,both_non_DEG,
AT1G14080,93.84853134,-0.11785101,0.326734624,no,76.0973681960643,-0.115379136729834,0.354390669369526,no,both_non_DEG,
AT1G14100,1.714825808,-0.20136391,0.668409432,no,0.604175979987605,-0.47688734731626,0.568240988820292,no,both_non_DEG,
AT1G14110,,,,,0.586512461846456,0.395652125871569,0.676541791374951,no,,
AT1G14120,167.823848,0.282829333,0.027068225,yes,136.681520096048,0.28785853317106,0.0267516607521789,no,lost_DEG,
AT1G14130,130.8715207,0.41493644,3.23e-06,yes,106.399749979395,0.424593895463278,3.50637137320304e-06,no,lost_DEG,
AT1G14140,157.4735968,-0.073119986,0.222228036,no,128.077383425967,-0.0608296571512253,0.34702735605491,no,both_non_DEG,
