gene_id,category
AT1G05300,Cs137_10cGy_only
AT1G09155,Cs137_10cGy_only
AT1G10970,Cs137_10cGy_only
AT1G15670,Cs137_10cGy_only
AT1G51850,Cs137_10cGy_only
AT1G53903,Cs137_10cGy_only
AT1G55152,Cs137_10cGy_only
AT1G60960,Cs137_10cGy_only
AT2G39510,Cs137_10cGy_only
AT3G16670,Cs137_10cGy_only
AT3G23550,Cs137_10cGy_only
AT3G25780,Cs137_10cGy_only
AT3G48360,Cs137_10cGy_only
AT3G52450,Cs137_10cGy_only
AT4G14630,Cs137_10cGy_only
AT4G17470,Cs137_10cGy_only
AT4G21830,Cs137_10cGy_only
AT4G36670,Cs137_10cGy_only
AT5G27920,Cs137_10cGy_only
AT5G55930,Cs137_10cGy_only
AT5G61590,Cs137_10cGy_only
AT5G65690,Cs137_10cGy_only
