gene_id,radiation_effect,genotype_interaction,Cs137_100cGy,Cs137_10cGy,GCR80,GCR40
AT1G02450,3.64038271561468,2.57545457695591,-0.0100576858402602,-0.209690593904037,,
AT1G02520,1.02044702994805,-1.58785586855347,0.446225650456868,0.58826446546776,0.00813559230760152,-0.0742904832553718
AT1G02650,1.2526926301547,-1.80660801122401,-0.011266471016511,0.223894644037084,0.409408605113321,0.249389148656277
AT1G04323,1.79239879272411,-3.36511250476851,0.54488255324077,0.604698084246011,,
AT1G05040,1.58485653565554,-3.49826084518165,,,-0.863157201790523,0.926379363011096
AT1G05490,2.38925524231086,-3.12571127496156,0.257371585295363,0.0468461812081513,0.202794772263061,0.106015408423145
AT1G05575,1.8531189535066,-0.274359499503808,1.14721545329793,1.25370290105082,-0.795210446942116,-0.290147774727419
AT1G06160,-0.132801422000055,0.0319817176024329,1.11990629191758,1.4573694211987,-0.460190642147655,-1.15860402501578
AT1G06577,2.8799270868756,-4.251687365556,0.322662885502782,-0.344043730433337,,
AT1G06583,2.45628257880284,-4.49425991606469,,,,
AT1G06587,2.80896598915387,-3.20209952047977,-0.0528481486645887,-0.949067396921544,0.389726188525674,-0.48572907879403
AT1G07160,1.20940286671659,-1.2255332887601,2.39156924915662,1.86699713569869,-0.734031226625807,-1.06805568890947
AT1G07373,1.2456839556151,-1.54311381319766,-0.911594603264344,-1.04650439852758,,
AT1G07500,7.27839977936731,-9.53577835835461,1.37606346540852,0.484703398741799,3.11179255701488,1.29937452800435
AT1G08250,-3.86503038159307,4.48681209615327,-0.105312928832729,-0.0497083277908083,-0.260665303076178,-0.230389679281691
AT1G08260,1.60409341018697,-2.73186868481527,-0.0240128348405876,-0.190722456349547,0.527630698980582,0.224606540292598
AT1G08270,1.78175731061733,-3.08168885215712,0.295962994250176,0.240316445939422,-0.0662845634955215,-0.0155442076090643
AT1G09176,1.63616762234847,-3.96588983788968,0.500231408965409,0.25348433761099,,
AT1G09180,2.24765924193989,-2.47880264712961,0.0814631659645062,0.173125515292768,-0.00172325600803221,0.196753192192931
AT1G09815,1.27951501396953,-1.80049235967814,0.125974008758478,-0.0854874750982719,0.130074107292805,-0.0504030425853152
AT1G10050,1.02661023995872,-1.58708466220024,0.0437308626091185,0.0701152826693855,0.0590749919047537,-0.196860853377395
AT1G12480,1.14515656875139,-2.37425167618155,0.146700197385044,0.274205153944894,0.0992834044441309,0.250251734579796
AT1G13330,2.18864072896614,-2.75683054350807,0.116516444801848,-0.219291937786969,0.577893941157152,0.275122145427892
AT1G13480,1.10973481189287,-0.486390131163519,2.53922170305021,2.84057678607131,,
AT1G13520,2.07739838562741,-0.889492482507101,2.74514308665156,2.07917653952759,0.456814058817483,-0.0244785281635457
AT1G13609,0.929538026582676,-2.11887406634559,-1.06298355643555,-1.38559120944904,,
AT1G15010,1.71499820920077,0.145699302436455,1.56301132115482,1.16879663212987,0.341628811271723,0.138254076081841
AT1G15190,1.36307887978301,-1.60363651051345,0.0909198307293682,0.11016418831642,,
AT1G15580,1.68329632164708,-2.54369717104768,0.195297890350623,0.0243575374984802,1.48034669267862,-0.531374475622082
AT1G16130,1.28271776544651,-0.07111170648661,1.12204007550201,0.881468878899413,0.308064439054366,0.395928984506427
AT1G17460,1.79914953997531,-1.4198726240505,0.0750396664005698,0.00815626530680724,0.457169706138828,0.142837871740469
AT1G17960,1.3392152259844,-2.24812713623392,-0.0514039155399072,0.13651237575238,0.506644553267639,0.349591426389343
AT1G19180,0.812185841159687,-0.543115431464631,1.05263538874981,1.05325190679595,-0.055246371200949,-0.32918759593124
AT1G19250,3.85000523857723,-0.359315254797848,0.409409623279695,-0.10687058895494,0.659465091787848,-0.239379989551909
