,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G03350,235.4093188,2.543409914,0.391694523,6.493350726,8.39E-11,4.98E-09,yes
AT2G31200,383.5336762,0.299259406,0.046094094,6.492358928,8.45E-11,4.99E-09,yes
AT4G11280,249.1818379,1.140709303,0.175697115,6.492476004,8.44E-11,4.99E-09,yes
AT2G23150,323.3056324,1.104950945,0.17023745,6.490645548,8.55E-11,5.04E-09,yes
AT3G50780,225.9788178,-0.23688819,0.036504314,-6.489320412,8.62E-11,5.07E-09,yes
AT3G59700,63.62603168,0.506892469,0.07819462,6.482446879,9.02E-11,5.29E-09,yes
AT1G17830,62.48079484,0.578647578,0.089273118,6.481767284,9.07E-11,5.30E-09,yes
AT2G02240,11.38420776,2.077068968,0.320762228,6.475416335,9.46E-11,5.52E-09,yes
AT1G26420,23.56295704,1.672789841,0.258395805,6.473749987,9.56E-11,5.56E-09,yes
AT5G10760,64.92580982,2.61570945,0.404174384,6.471734858,9.69E-11,5.63E-09,yes
AT1G06577,7.003810516,2.22162125,0.343336637,6.470679235,9.76E-11,5.65E-09,yes
AT3G07810,1242.295649,0.538478686,0.083237617,6.469174724,9.85E-11,5.69E-09,yes
AT1G30660,15.97595158,1.815205296,0.280738653,6.465818927,1.01E-10,5.81E-09,yes
AT1G63530,75.45665448,0.982034536,0.151911397,6.464521783,1.02E-10,5.84E-09,yes
AT3G50480,383.2751475,1.514227,0.234321396,6.462179844,1.03E-10,5.92E-09,yes
AT3G20490,212.2582528,1.187755568,0.184064764,6.452922029,1.10E-10,6.28E-09,yes
AT1G78410,14.18019346,2.06838599,0.320596532,6.451679249,1.11E-10,6.30E-09,yes
AT3G08990,45.01313551,0.811661035,0.125808688,6.451549948,1.11E-10,6.30E-09,yes
AT4G11170,7.711500818,2.148489532,0.333337908,6.445380134,1.15E-10,6.55E-09,yes
AT1G76040,188.478219,0.546066452,0.084759749,6.442520841,1.18E-10,6.66E-09,yes
AT5G66730,573.4705213,0.410455589,0.063801151,6.433357062,1.25E-10,7.06E-09,yes
AT2G43000,17.64395748,1.991314239,0.309647392,6.430909123,1.27E-10,7.15E-09,yes
AT3G46320,399.7486708,-0.668750886,0.104143848,-6.421415148,1.35E-10,7.60E-09,yes
AT2G37430,38.28795742,1.687571732,0.262903546,6.418976676,1.37E-10,7.70E-09,yes
AT1G18570,188.0899404,1.840247208,0.287006294,6.41187057,1.44E-10,8.05E-09,yes
AT2G39660,348.5950603,0.581308995,0.09069222,6.409689771,1.46E-10,8.15E-09,yes
AT3G20500,299.4288461,0.388220474,0.060574698,6.40895433,1.47E-10,8.17E-09,yes
AT3G50950,972.144556,0.882073495,0.137667676,6.407266539,1.48E-10,8.24E-09,yes
AT2G32030,37.4257692,1.557308122,0.243134423,6.4051322,1.50E-10,8.30E-09,yes
AT4G34320,26.79869975,1.508528881,0.235524275,6.404982598,1.50E-10,8.30E-09,yes
AT5G58620,438.6382667,0.32905184,0.051372602,6.405200915,1.50E-10,8.30E-09,yes
AT5G63790,836.7780539,0.484399698,0.075638082,6.404177467,1.51E-10,8.33E-09,yes
AT3G55980,1165.855933,2.039440385,0.31860325,6.401191403,1.54E-10,8.47E-09,yes
AT5G54710,419.2229441,1.53277981,0.239558974,6.398340194,1.57E-10,8.61E-09,yes
AT2G17120,382.1930317,0.538738009,0.08421196,6.397404947,1.58E-10,8.64E-09,yes
AT1G63090,228.1383756,0.456811213,0.071442794,6.394083819,1.62E-10,8.81E-09,yes
AT3G06840,74.36386721,-0.725307208,0.113472654,-6.391911922,1.64E-10,8.92E-09,yes
AT2G18630,328.4101885,0.387712906,0.060764847,6.380546048,1.76E-10,9.58E-09,yes
AT3G14560,124.2191177,0.957684895,0.150136464,6.378762824,1.79E-10,9.67E-09,yes
AT5G43450,214.8332622,1.217516619,0.190934391,6.376622932,1.81E-10,9.79E-09,yes
AT3G22370,588.3629596,0.695323373,0.109087647,6.373988156,1.84E-10,9.93E-09,yes
AT3G57460,12.35876248,2.621652323,0.411599382,6.369427259,1.90E-10,1.02E-08,yes
AT5G48380,731.6978594,0.729782645,0.114605154,6.367799522,1.92E-10,1.03E-08,yes
AT3G53810,153.663373,0.563028141,0.088540452,6.358993319,2.03E-10,1.09E-08,yes
AT5G46470,529.443425,0.586680431,0.092288067,6.357056253,2.06E-10,1.10E-08,yes
AT5G17760,309.7228151,0.937679952,0.147550254,6.354987042,2.08E-10,1.11E-08,yes
AT1G02450,8.482239965,2.699864577,0.425076136,6.351484707,2.13E-10,1.13E-08,yes
AT1G28370,41.9787087,1.908796632,0.300585237,6.350267408,2.15E-10,1.14E-08,yes
AT5G22220,88.65336096,0.453019114,0.071379473,6.346630085,2.20E-10,1.17E-08,yes
AT3G09020,68.2264495,1.367060927,0.215493189,6.343870697,2.24E-10,1.18E-08,yes
AT5G64810,33.15679575,1.3132452,0.207059914,6.342343985,2.26E-10,1.19E-08,yes
AT2G22500,523.7042821,1.008164169,0.159003249,6.340525586,2.29E-10,1.20E-08,yes
AT1G51060,1522.349944,-0.451982396,0.071323781,-6.337050431,2.34E-10,1.23E-08,yes
AT1G28480,21.84032651,1.129186189,0.178243323,6.335082682,2.37E-10,1.24E-08,yes
