"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT4G02390",165.401571913466,2.50266057322411,0.161010925987371,15.5434207826394,1.76315405207417e-54,3.42933463128426e-50
"AT3G07800",236.32774477916,1.41351801275705,0.11558695062734,12.2290449318482,2.17480606502836e-34,2.11499889824008e-30
"AT3G27060",644.464427213795,1.34927336323985,0.139804497394713,9.65114419338332,4.8610285836662e-22,3.15156686507692e-18
"AT5G48720",229.94372783277,1.47059154803638,0.163224778128946,9.00960972282425,2.06791077398739e-19,1.00552161385137e-15
"AT5G20850",41.5860954137505,1.63659075816334,0.26390926655071,6.20133873870197,5.59848670038794e-10,2.17781132645091e-06
"AT5G03780",71.1634385824307,1.24679531763266,0.203863725296066,6.11582720673809,9.60573658311415e-10,3.11385960902617e-06
"AT5G49480",470.990222263728,0.725322807682123,0.122172140736288,5.93689202227987,2.9047583482992e-09,8.07107855348849e-06
"AT5G07610",10.3534765985905,3.62175845786505,0.613441297593796,5.90400169025347,3.54788523390934e-09,8.62579597494207e-06
"AT2G18193",55.5836976969798,1.77701565673328,0.31154161990112,5.70394304715142,1.1706720613421e-08,2.52995239923375e-05
"AT2G30360",714.328553022138,0.959040384877201,0.169600760471353,5.65469389530944,1.56124262490444e-08,3.03661690543914e-05
"AT1G16400",252.406109041691,-0.62534337557934,0.129144321581179,-4.84220574255953,1.28405706892236e-06,0.00227044636277636
"AT5G66130",60.055893781834,1.39986543533733,0.291684928100136,4.79923815212266,1.59270316753266e-06,0.00258150638404252
"AT2G31320",185.536550207554,0.612660549493342,0.132478178869885,4.62461482124596,3.75295146444567e-06,0.0056149927679591
"AT1G23800",358.327751227989,-0.547754313233471,0.11907622971701,-4.60003070751596,4.22428664823708e-06,0.00586874109344366
"AT2G45460",243.787351856687,0.665751341326198,0.154752735420365,4.30203278486661,1.69238262424425e-05,0.0219445613610337
"AT4G28520",11.2205829838989,4.13249033676354,0.967199860341842,4.27263330590533,1.93177994451277e-05,0.0234831999504834
"AT5G60250",59.311715387065,0.98936763625987,0.235544731570122,4.20033863489465,2.6651606048737e-05,0.0304925728028197
"AT5G23010",1544.69033415781,-0.886707648844627,0.214989542248202,-4.12442223734277,3.71666532038921e-05,0.0401606336008723
"AT1G49980",215.218074183182,0.481252342001732,0.118131992057767,4.07385276095571,4.62417226217832e-05,0.047336921315457
"AT1G33760",26.0821959213685,1.56409046253254,0.386578139402034,4.04598786923623,5.21029311508053e-05,0.0506701005441582
"AT1G54960",32.8702034856053,-1.35036447635663,0.337266473503465,-4.0038503155362,6.23198044976222e-05,0.0577200094037501
"AT4G21070",80.4458514578842,0.957137146655723,0.239945716742082,3.98897367142649,6.63597857071174e-05,0.0586680832728833
"AT3G19710",494.939026778664,-0.891285084809349,0.224578693488997,-3.96869832557386,7.22662987822874e-05,0.0611121526658909
"AT5G43180",47.6774175719178,-1.15849739694655,0.294080467658973,-3.93938912763832,8.16893425241374e-05,0.0662024046706031
"AT4G04830",216.931992235109,-0.761275189366812,0.194521712167597,-3.91357438140844,9.09398702749334e-05,0.0707512190738982
"AT5G44400",135.457865655771,-0.759585017186663,0.196974064103043,-3.85626920298147,0.000115130695903348,0.0847088960305922
"AT5G48020",578.042430706741,0.405303509632252,0.105243699436255,3.8510952370858,0.000117590755415218,0.0847088960305922
"AT1G70510",73.549948853005,0.604910046624346,0.159121772711309,3.80155422050144,0.000143791263015272,0.0990551445841046
"AT4G21990",107.078238532516,-0.975580852933329,0.258203548448356,-3.77834022342438,0.000157877094195745,0.0990551445841046
"AT5G40840",94.1409286915437,0.703827478418964,0.18606882550107,3.78261902026632,0.000155186847659035,0.0990551445841046
"ATMG00500",50.9417188780356,-2.96010850283654,0.781975127977627,-3.7854253887743,0.000153445868697753,0.0990551445841046
"AT1G12530",77.033635831505,-0.839535493710705,0.222718413032113,-3.76949297671968,0.00016357951146035,0.0994256718094938
"AT1G08260",435.391453653514,0.569003754616597,0.151723950031777,3.75025666348276,0.000176653660607635,0.104118596933894
"AT3G53880",75.4844832102432,-0.860731780576302,0.232773475299914,-3.69772277304063,0.000217542280774937,0.124446981208016
"AT2G42170",777.077175203909,0.429628365608257,0.117107708353568,3.66866000238972,0.000243825079986977,0.135497080164191
"AT4G19130",22.9663732149828,1.11588116244282,0.305284340901548,3.65521912832955,0.000256962399713278,0.138831074289535
"AT1G56260",43.0968298368483,0.807502251365354,0.224749643932332,3.59289668823002,0.000327022268812037,0.17190765211876
"AT2G44190",20.6436875935936,-1.62643185148946,0.454038759883391,-3.58214318950913,0.000340786903890483,0.174196590221088
"AT5G62790",541.555651708437,-0.330986016728011,0.092565313882044,-3.5757024186164,0.00034928879273123,0.174196590221088
