gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G06160,19.0482448303448,1.4573694211987,0.284399684884522,5.12437073124905,2.98533080024227e-07,4.09410281069003e-05,yes,up,0.898441789015283,0.641320149851072,hypocotyl,Seedling,tissue_specific
AT1G25400,130.81313863817,1.04950694275497,0.270067060597104,3.88609755086224,0.000101868584740986,0.00217464378770019,yes,up,0.803926541347517,0.686088764169887,seedling_green_parts,Seedling,tissue_specific
AT1G49000,44.9652144207473,1.06382144614746,0.361921348657197,2.93937191076032,0.00328878176763936,0.0238461325153248,yes,up,0.939313911624852,0.715291345890288,senescing_leaf,Seedling,tissue_specific
AT1G51820,150.348871441127,2.05453789238428,0.486851742120879,4.22004835277794,2.44249925626787e-05,0.000870800563435451,yes,up,0.819861297800215,0.753830482579836,seedling_green_parts,Seedling,tissue_specific
AT1G68765,11.4611335109353,1.64487624924946,0.606546216311007,2.71187290434939,0.0066904240016408,0.0391454421116466,yes,up,0.714136151511544,0.389494097404301,senescing_leaf,Seedling,tissue_specific
AT1G76600,172.403091017621,1.10687011411983,0.34893669226559,3.17212302017624,0.00151328888045722,0.0139561245051799,yes,up,0.73959789715842,0.466522350137459,mature_pollen,Seedling,tissue_specific
AT1G80840,228.175185198374,1.28454607788096,0.435639536486032,2.94864439587464,0.00319170997694144,0.0233496895054671,yes,up,0.82690073659237,0.606129194658512,cotyledon,Seedling,tissue_specific
AT2G19190,108.263634218734,1.24597105925407,0.362960111839957,3.43280437329009,0.000597372949494652,0.00714277597869704,yes,up,0.84601818898036,0.762869743626067,sepal,Seedling,tissue_specific
AT2G25735,68.1056328032548,1.36941988921365,0.257377805828293,5.32066036077424,1.03391266979837e-07,1.7872049716081e-05,yes,up,0.894589160012586,0.787185575333791,cotyledon,Seedling,tissue_specific
AT2G43620,137.754427586207,1.81800713014328,0.368452383554191,4.93417117459328,8.04918261015934e-07,8.18878562105429e-05,yes,up,0.939423341098851,0.919348898144019,seedling_green_parts,Seedling,tissue_specific
AT3G01830,70.6997150020865,1.22680148712429,0.412213402972155,2.97613197018524,0.0029190921574132,0.0218965541899969,yes,up,0.838560522153955,0.586459396009093,cotyledon,Seedling,tissue_specific
AT3G02840,24.3555040398284,1.8065444272715,0.569451660294754,3.1724280623511,0.00151170005875626,0.0139561245051799,yes,up,0.838251111404703,0.42897979763149,cotyledon,Seedling,tissue_specific
AT3G16670,975.971352750712,-1.02904181254064,0.285899125956222,-3.59931779818806,0.00031905308750434,0.00465774585816313,yes,down,0.924606650846295,0.706089226965908,cotyledon,Seedling,tissue_specific
AT3G23550,46.1522263834608,1.38142535221732,0.289269460730836,4.77556582961493,1.79202655345505e-06,0.000144047961599331,yes,up,0.893976141033472,0.850012082006202,seedling_green_parts,Seedling,tissue_specific
AT3G26200,79.0475090993676,1.23500474833879,0.369557386892247,3.34184836277914,0.000832225120105483,0.00904610643907646,yes,up,0.774845134250118,0.467606925172988,pedicel,Seedling,tissue_specific
AT3G48360,29.8951045874821,1.1255120249814,0.358580354399201,3.13880002396447,0.0016964117435398,0.0151455221279013,yes,up,0.836646162423645,0.655511700507179,seedling_green_parts,Seedling,tissue_specific
AT4G28085,24.2188082293653,1.03429583751167,0.359052270151835,2.88062748377635,0.00396884412058161,0.0272012042832704,yes,up,0.755275407725424,0.563652308762091,sepal,Seedling,tissue_specific
AT4G30280,97.4362104371941,1.68990793725145,0.390735420519537,4.32494175983452,1.52572165818649e-05,0.000632737179391863,yes,up,0.916955339588632,0.691489027998159,seedling_green_parts,Seedling,tissue_specific
AT4G36670,379.792105531785,1.00274736827895,0.246930855391322,4.06084272736939,4.88959021578759e-05,0.00132635553983616,yes,up,0.898771951002001,0.819880404395692,seedling_green_parts,Seedling,tissue_specific
