ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009767,photosynthetic electron transport chain,30/2429,57/16827,0.526315789,3.646074841,8.219135404,1.32E-11,2.40E-09,2.07E-09,AT3G54050/AT4G30950/AT4G03280/AT4G21280/AT4G33520/AT3G21200/AT1G60950/AT5G64040/AT4G01050/AT5G66570/AT3G50820/AT4G09650/AT4G05180/AT1G55370/AT1G15980/AT3G15850/AT1G64770/AT2G46820/AT3G16250/AT1G08380/AT1G14150/AT4G04640/AT1G18730/AT2G45770/AT1G67740/AT5G66190/AT1G55670/AT1G70760/AT2G05620/AT2G01590,30
GO:0022402,cell cycle process,125/2429,488/16827,0.256147541,1.774472899,7.131099808,3.30E-11,5.07E-09,4.37E-09,AT3G54710/AT5G44040/AT2G31270/AT2G29680/AT5G48520/AT3G05330/AT1G14920/AT1G01370/AT3G48160/AT3G14190/AT2G01210/AT4G00100/AT5G54670/AT2G28620/AT2G25880/AT1G16330/AT1G20330/AT3G25100/AT5G67260/AT5G50375/AT3G50630/AT1G53140/AT3G27730/AT4G15290/AT5G06150/AT2G33560/AT1G18370/AT4G14700/AT3G44960/AT2G44190/AT5G18700/AT1G02730/AT1G01690/AT5G05510/AT1G04030/AT1G44110/AT2G33400/AT1G72670/AT3G19590/AT2G32610/AT1G63100/AT2G26760/AT1G50490/AT4G35620/AT4G26760/AT1G03780/AT2G26180/AT5G15510/AT1G22920/AT3G11520/AT2G30820/AT1G47210/AT5G51600/AT2G44580/AT5G27550/AT4G21820/AT3G23670/AT3G58650/AT4G14150/AT2G33793/AT1G34210/AT4G32830/AT5G07280/AT4G22860/AT2G17620/AT1G51355/AT5G60930/AT1G17480/AT1G33240/AT2G20000/AT4G09550/AT4G05190/AT3G47690/AT2G01570/AT1G64625/AT5G04320/AT3G19570/AT4G11990/AT5G66410/AT5G67270/AT2G16440/AT3G59420/AT1G76310/AT2G35190/AT1G50240/AT1G03180/AT1G08180/AT1G14750/AT3G57060/AT5G54260/AT5G17410/AT1G09630/AT1G08390/AT1G20610/AT3G01015/AT5G11510/AT1G04730/AT1G15570/AT3G25980/AT3G51800/AT3G59550/AT5G17620/AT2G36200/AT4G15802/AT2G32590/AT2G20635/AT1G20930/AT2G37420/AT5G62240/AT3G43610/AT3G23890/AT2G39090/AT5G37630/AT5G12360/AT2G42260/AT3G50070/AT3G17360/AT3G19050/AT1G69400/AT1G07270/AT2G38620/AT5G11340/AT1G71830/AT2G24070/AT5G46700,125
GO:0016072,rRNA metabolic process,76/2429,247/16827,0.307692308,2.131551446,7.35840407,3.31E-11,5.07E-09,4.37E-09,AT1G09340/AT3G53890/AT5G18380/AT2G47610/AT3G09500/AT5G64140/AT3G63140/AT3G52150/AT5G20290/AT5G16130/AT4G24770/AT3G24506/AT2G39390/AT5G27700/AT1G70070/AT2G01250/AT5G57980/AT3G02560/AT3G62870/AT2G44120/AT1G01790/AT1G29250/AT5G18570/AT2G09990/AT5G46420/AT5G02610/AT3G13740/AT2G33800/AT5G51140/AT1G12650/AT4G25630/AT2G34160/AT2G25870/AT3G46630/AT1G01860/AT2G20490/AT1G70200/AT1G01080/AT2G32415/AT1G60230/AT5G06360/AT3G03920/AT1G12800/AT5G53770/AT5G27990/AT3G55170/AT4G21770/AT5G10620/AT4G12600/AT1G25260/AT2G43810/AT5G25080/AT2G37220/AT3G52380/AT5G08180/AT3G23700/AT1G60000/AT1G45230/AT3G49180/AT5G14520/AT4G32720/AT5G20160/AT3G18600/AT3G28460/AT3G07170/AT5G66470/AT3G17170/AT4G04940/AT2G17250/AT1G59760/AT3G53460/AT2G39670/AT1G52930/AT3G09720/AT5G67240/AT1G22270,76
GO:0009658,chloroplast organization,68/2429,214/16827,0.317757009,2.201275091,7.264043581,7.40E-11,1.05E-08,9.09E-09,AT3G54710/AT1G09340/AT3G53890/AT1G49510/AT2G31270/AT3G63140/AT3G51720/AT1G11870/AT1G74730/AT1G11750/AT5G21920/AT1G35680/AT1G32080/AT2G21280/AT4G20360/AT1G01790/AT5G18570/AT1G50900/AT1G06950/AT5G46290/AT4G23940/AT4G35080/AT3G29185/AT3G63190/AT5G67385/AT2G28000/AT2G47940/AT2G25870/AT3G46630/AT5G19620/AT1G44000/AT1G62750/AT5G22640/AT5G08050/AT1G08540/AT4G16390/AT5G24314/AT3G46740/AT2G21170/AT5G14100/AT1G63680/AT4G20130/AT5G64050/AT3G08010/AT2G03050/AT3G19570/AT5G23040/AT3G07430/AT1G28530/AT1G10910/AT2G46820/AT5G55280/AT5G24020/AT4G34090/AT5G42880/AT1G21600/AT3G47390/AT1G45230/AT1G69200/AT3G45780/AT4G38160/AT5G35220/AT3G54090/AT1G30610/AT3G58830/AT5G13770/AT5G40270/AT3G04340,68
GO:0140694,non-membrane-bounded organelle assembly,45/2429,120/16827,0.375,2.597828324,7.214805328,3.22E-10,4.27E-08,3.69E-08,AT1G04270/AT3G02080/AT2G36160/AT5G64140/AT5G39740/AT5G48520/AT5G61170/AT1G72370/AT2G37270/AT3G24506/AT3G52580/AT5G54670/AT5G47930/AT2G28620/AT3G11510/AT3G61110/AT3G25520/AT5G09510/AT3G11940/AT2G44190/AT1G03780/AT5G15510/AT5G27550/AT4G22860/AT4G09550/AT4G05190/AT3G47690/AT3G19570/AT4G11990/AT5G67270/AT3G04770/AT1G25260/AT5G17410/AT1G13730/AT3G01015/AT5G17620/AT2G36200/AT2G37420/AT5G62240/AT3G43610/AT5G66470/AT2G45710/AT5G60980/AT1G52930/AT2G24070,45
GO:0007010,cytoskeleton organization,85/2429,310/16827,0.274193548,1.899487377,6.565434162,1.51E-09,1.88E-07,1.62E-07,AT3G12110/AT1G75640/AT5G48520/AT3G05330/AT5G54670/AT1G70340/AT2G28620/AT5G15600/AT2G25880/AT1G11160/AT2G19760/AT2G29550/AT1G23790/AT2G40820/AT4G35950/AT5G19780/AT5G65930/AT4G15830/AT5G48460/AT2G44190/AT5G18700/AT3G49260/AT5G62690/AT4G26760/AT1G03780/AT5G15510/AT4G34970/AT4G00680/AT5G51600/AT5G27550/AT1G01750/AT4G21820/AT3G23670/AT3G58650/AT4G14150/AT4G18570/AT3G53750/AT4G32830/AT1G20090/AT2G31900/AT5G44340/AT2G45800/AT4G22860/AT3G44200/AT5G60930/AT1G50010/AT4G14960/AT5G48360/AT4G09550/AT4G05190/AT3G47690/AT1G75840/AT3G19570/AT4G11990/AT2G18990/AT5G23290/AT5G66410/AT5G67270/AT4G05520/AT3G23090/AT5G54280/AT3G06030/AT5G14790/AT4G16340/AT5G17410/AT3G01015/AT3G60840/AT5G17620/AT2G36200/AT5G23430/AT4G32330/AT2G37420/AT5G62240/AT3G43610/AT1G69230/AT2G22640/AT5G49150/AT1G80350/AT5G01280/AT2G29890/AT4G34490/AT3G19050/AT4G27370/AT1G04160/AT2G24070,85
GO:0007018,microtubule-based movement,28/2429,61/16827,0.459016393,3.179855435,7.00536865,3.68E-09,4.31E-07,3.72E-07,AT2G47500/AT5G54670/AT2G28620/AT1G18550/AT3G10310/AT1G18370/AT5G65930/AT4G38950/AT5G02370/AT1G72250/AT5G27550/AT3G23670/AT4G14150/AT4G14330/AT2G22610/AT5G60930/AT4G05190/AT1G59540/AT5G06670/AT1G20060/AT1G73860/AT3G51150/AT3G20150/AT2G36200/AT5G27950/AT2G37420/AT3G17360/AT3G19050,28
GO:1903047,mitotic cell cycle process,60/2429,196/16827,0.306122449,2.120676183,6.481896786,4.74E-09,5.24E-07,4.52E-07,AT2G29680/AT3G05330/AT2G01210/AT2G28620/AT2G25880/AT1G16330/AT3G25100/AT5G67260/AT4G15290/AT5G06150/AT2G33560/AT4G14700/AT5G18700/AT1G02730/AT5G05510/AT1G44110/AT3G19590/AT2G32610/AT2G26760/AT1G50490/AT4G35620/AT1G03780/AT5G15510/AT1G22920/AT3G11520/AT1G47210/AT3G23670/AT3G58650/AT4G14150/AT4G32830/AT4G22860/AT2G17620/AT5G60930/AT2G20000/AT4G09550/AT4G11990/AT2G16440/AT1G76310/AT1G03180/AT1G14750/AT3G57060/AT5G54260/AT1G20610/AT3G01015/AT1G15570/AT3G25980/AT2G36200/AT2G32590/AT2G20635/AT1G20930/AT2G37420/AT5G62240/AT2G39090/AT5G37630/AT3G50070/AT3G17360/AT3G19050/AT1G69400/AT1G07270/AT2G38620,60
GO:0042274,ribosomal small subunit biogenesis,34/2429,87/16827,0.390804598,2.707315342,6.557657912,1.36E-08,1.42E-06,1.23E-06,AT3G53890/AT5G18380/AT1G04270/AT5G15200/AT3G02080/AT2G36160/AT5G64140/AT5G61170/AT1G72370/AT5G20290/AT5G16130/AT2G37270/AT3G52580/AT5G27700/AT5G47930/AT2G32060/AT3G02560/AT3G11510/AT3G61110/AT2G09990/AT5G09510/AT3G11940/AT1G12650/AT1G15930/AT5G27990/AT3G04770/AT4G12600/AT2G43810/AT5G20160/AT5G66470/AT5G05210/AT2G45710/AT3G09720/AT1G22270,34
GO:0006414,translational elongation,22/2429,43/16827,0.511627907,3.544323915,6.861388457,1.43E-08,1.42E-06,1.23E-06,AT4G00810/AT5G19510/AT5G57290/AT1G18080/AT1G01100/AT5G47700/AT3G44590/AT4G20360/AT2G27710/AT1G48630/AT4G25890/AT4G29060/AT1G26630/AT4G02930/AT3G12915/AT1G62750/AT2G27720/AT5G60390/AT3G49100/AT1G07930/AT3G18130/AT3G08740,22
GO:0009773,photosynthetic electron transport in photosystem I,13/2429,17/16827,0.764705882,5.297532269,7.281366066,1.54E-08,1.46E-06,1.26E-06,AT3G54050/AT5G64040/AT4G09650/AT1G55370/AT1G15980/AT1G64770/AT2G46820/AT3G16250/AT1G18730/AT1G55670/AT1G70760/AT2G05620/AT2G01590,13
GO:0003002,regionalization,54/2429,177/16827,0.305084746,2.11348745,6.116710921,3.12E-08,2.83E-06,2.44E-06,AT2G19730/AT3G53020/AT1G73590/AT5G39740/AT2G27530/AT1G05470/AT4G00480/AT2G37590/AT1G20330/AT1G33140/AT1G80080/AT5G15310/AT3G25520/AT5G60200/AT5G65930/AT5G60690/AT2G33800/AT4G37650/AT1G22920/AT2G21050/AT4G12970/AT5G51590/AT5G57390/AT3G22760/AT4G24670/AT5G10510/AT3G44750/AT2G34710/AT2G26330/AT1G33240/AT3G54720/AT1G52150/AT2G01950/AT3G63300/AT2G45190/AT5G10250/AT5G65510/AT3G09070/AT4G00180/AT1G48410/AT3G26610/AT1G04550/AT5G28640/AT5G47440/AT5G53200/AT3G51060/AT2G32010/AT4G32551/AT2G46990/AT4G14740/AT3G52770/AT5G55250/AT2G38620/AT5G46700,54
