,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G61130,889.858674,0.503445259,0.134315188,3.748237756,0.000178081,0.007950593,yes
AT3G04630,488.7946636,0.715048364,0.190964478,3.744405094,0.000180822,0.008057675,yes
AT4G36120,92.19919793,0.951888221,0.254975463,3.733254203,0.000189022,0.008407184,yes
AT4G11140,46.32035292,0.875844046,0.23490706,3.728470507,0.000192645,0.008552224,yes
AT5G33300,127.9124318,0.610184347,0.16369952,3.727465705,0.000193415,0.008570242,yes
AT5G16000,377.0367537,0.42559997,0.11425223,3.72509116,0.000195245,0.008635089,yes
AT5G14420,438.3337165,-0.698538612,0.187777777,-3.720028132,0.000199201,0.00879355,yes
AT3G08620,175.6788238,-0.629658755,0.169536357,-3.714004279,0.000204005,0.008988819,yes
AT1G14220,26.75149941,-1.131753417,0.30496133,-3.711137468,0.00020633,0.009074286,yes
AT5G11400,4.303685477,-2.741856869,0.739030322,-3.710073576,0.000207199,0.009095535,yes
AT1G33960,71.76480272,-2.882411355,0.777272756,-3.708365348,0.000208602,0.009140082,yes
AT1G15860,407.2497439,-0.283629671,0.076522281,-3.706497867,0.000210145,0.009190627,yes
AT1G78620,600.8779238,-0.470935403,0.127168433,-3.703241385,0.000212862,0.009275046,yes
AT5G18490,269.2472496,-1.155718014,0.312062307,-3.703484806,0.000212658,0.009275046,yes
