,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G52520,1071.37537,-0.159885858,0.033604487,-4.757872336,1.96E-06,0.000191645,yes
AT1G23180,701.1085814,-0.197710398,0.041601576,-4.752473782,2.01E-06,0.000193226,yes
AT5G14740,15909.22543,-0.263976117,0.055547061,-4.752296727,2.01E-06,0.000193226,yes
AT3G18420,376.6984783,-0.1965176,0.041370283,-4.75021164,2.03E-06,0.000193405,yes
AT4G14370,49.92267986,1.838183118,0.386893073,4.751139905,2.02E-06,0.000193405,yes
AT1G05300,198.818221,0.766174762,0.161446796,4.745679579,2.08E-06,0.00019597,yes
AT1G52200,77.89171691,1.262915475,0.266119904,4.745663341,2.08E-06,0.00019597,yes
AT2G43630,689.7604492,-0.178468743,0.037703499,-4.733479662,2.21E-06,0.00020641,yes
AT3G29200,921.6728041,-0.226545181,0.047862214,-4.733278337,2.21E-06,0.00020641,yes
AT3G05200,95.03855682,0.619412198,0.130985948,4.728844621,2.26E-06,0.000210005,yes
AT3G01480,4113.782811,-0.149632347,0.031667067,-4.725172236,2.30E-06,0.000211901,yes
AT5G41761,27.91661072,0.957586397,0.202647224,4.725386204,2.30E-06,0.000211901,yes
AT2G42840,2114.26591,-0.224781488,0.047620858,-4.720231819,2.36E-06,0.000216136,yes
AT5G05580,1760.924222,-0.16880795,0.035792601,-4.716280662,2.40E-06,0.000218406,yes
AT5G13510,2310.769395,-0.214058564,0.045382886,-4.716724395,2.40E-06,0.000218406,yes
AT1G60600,656.7407356,-0.206705733,0.043839078,-4.715102164,2.42E-06,0.000218698,yes
AT2G21170,6218.506994,-0.16502067,0.035056835,-4.707232402,2.51E-06,0.000224755,yes
AT3G48280,59.37091661,-0.447383857,0.095029606,-4.707836581,2.50E-06,0.000224755,yes
AT5G60930,225.497259,-0.268560261,0.057057499,-4.706835493,2.52E-06,0.000224755,yes
AT4G24090,574.8584905,-0.168658628,0.03584342,-4.705427913,2.53E-06,0.000225323,yes
AT5G27920,105.8379893,0.566020719,0.12036932,4.702366993,2.57E-06,0.000227734,yes
AT4G24750,1205.376275,-0.201955542,0.042980778,-4.698740996,2.62E-06,0.000230811,yes
AT4G24220,1691.688474,0.293503415,0.062541447,4.692942496,2.69E-06,0.00023643,yes
AT2G33120,1030.499144,0.18127056,0.038729069,4.680478165,2.86E-06,0.000250191,yes
AT2G34190,74.21252203,-0.393797658,0.084192106,-4.677370337,2.91E-06,0.000252926,yes
AT5G47070,154.8854599,0.316904036,0.067770987,4.676101815,2.92E-06,0.000253412,yes
AT2G44080,20.00077307,0.960226606,0.205429853,4.674231089,2.95E-06,0.000254649,yes
AT1G01050,850.9376686,-0.139007711,0.029787832,-4.666593806,3.06E-06,0.00026318,yes
AT1G06690,1435.214216,-0.22676738,0.048609114,-4.665120651,3.08E-06,0.000263529,yes
AT3G25410,747.390471,-0.18859969,0.040435355,-4.664227357,3.10E-06,0.000263529,yes
AT4G36500,500.9421093,0.428369482,0.091851157,4.663735266,3.11E-06,0.000263529,yes
AT5G36790,9925.235596,-0.117628999,0.025269998,-4.65488748,3.24E-06,0.00027396,yes
AT2G33480,235.2760348,0.296411804,0.063737506,4.650508372,3.31E-06,0.000278686,yes
AT1G15350,156.9415143,0.294306119,0.063322171,4.647757868,3.36E-06,0.000281265,yes
AT2G36145,850.9952552,-0.199692775,0.042986974,-4.645425296,3.39E-06,0.000283296,yes
AT1G10970,243.1133917,0.62118715,0.133797287,4.642748484,3.44E-06,0.000284659,yes
AT5G37780,692.9932097,0.169866097,0.03658337,4.643259907,3.43E-06,0.000284659,yes
AT2G33800,4706.084143,-0.195473134,0.042138831,-4.638788712,3.50E-06,0.000288992,yes
AT1G16350,860.1783739,-0.245198399,0.052913605,-4.633938652,3.59E-06,0.00029381,yes
AT1G32700,301.9836994,0.30146465,0.065059136,4.63370199,3.59E-06,0.00029381,yes
AT2G17720,373.6196767,0.229838473,0.049635856,4.630492802,3.65E-06,0.000295122,yes
AT5G47190,3324.863258,-0.197679237,0.042692525,-4.630300909,3.65E-06,0.000295122,yes
AT5G58250,1699.396082,-0.252224234,0.054466827,-4.630786224,3.64E-06,0.000295122,yes
AT1G14170,74.11702686,0.452984611,0.097909976,4.626541949,3.72E-06,0.000299115,yes
AT2G43030,4626.910262,-0.139799709,0.030221219,-4.625879234,3.73E-06,0.000299115,yes
AT3G15354,1589.451116,-0.201567826,0.043594972,-4.623648518,3.77E-06,0.000301166,yes
AT1G67630,150.2403941,-0.271306452,0.058698732,-4.622015547,3.80E-06,0.000302361,yes
AT1G33260,325.7691291,0.404327457,0.087508883,4.620416171,3.83E-06,0.000303516,yes
AT5G18700,368.7529472,-0.191163621,0.041411975,-4.616143501,3.91E-06,0.000308628,yes
AT5G40450,4203.805498,0.387600946,0.084022887,4.61304006,3.97E-06,0.000312064,yes
AT1G07320,5604.097627,-0.200366517,0.04345673,-4.610713126,4.01E-06,0.000313986,yes
AT2G19800,28.40966424,1.9094593,0.414207012,4.609915442,4.03E-06,0.000313986,yes
AT3G29170,134.6430552,0.326198162,0.070768489,4.609370156,4.04E-06,0.000313986,yes
AT1G07840,410.7437183,-0.193325716,0.041977589,-4.605450683,4.12E-06,0.000318104,yes
AT2G45140,515.7463844,0.173153591,0.037600577,4.605078078,4.12E-06,0.000318104,yes
AT4G16410,1350.008803,-0.169873573,0.036895407,-4.604192905,4.14E-06,0.000318255,yes
AT3G26060,4557.035805,-0.166809921,0.036255072,-4.601009221,4.20E-06,0.000321944,yes
AT5G18490,144.1864781,0.377090188,0.082101384,4.592982113,4.37E-06,0.000333331,yes
AT3G45060,111.9589304,2.044738258,0.44558689,4.588865387,4.46E-06,0.00033748,yes
AT3G56970,58.72920291,-1.261347846,0.274882627,-4.588677941,4.46E-06,0.00033748,yes
AT5G16710,2484.673237,-0.134256323,0.02926206,-4.588068072,4.47E-06,0.00033748,yes
AT2G05920,2197.664778,-0.153131355,0.033389724,-4.586182073,4.51E-06,0.000339285,yes
AT4G24770,11499.57713,-0.187684364,0.040955946,-4.582591407,4.59E-06,0.000343896,yes
AT3G19930,488.7492307,0.386087485,0.084278611,4.581085037,4.63E-06,0.000345114,yes
AT3G63190,2379.559427,-0.173996579,0.037995246,-4.579430219,4.66E-06,0.000346586,yes
AT2G46180,327.9893431,0.174317068,0.038105872,4.574546112,4.77E-06,0.00035348,yes
AT1G50490,133.6811915,-0.357731894,0.078264465,-4.570808622,4.86E-06,0.000355961,yes
AT3G45040,201.3717362,0.323454833,0.070751525,4.571701248,4.84E-06,0.000355961,yes
AT4G04350,1173.06226,-0.160853015,0.035185602,-4.571557816,4.84E-06,0.000355961,yes
AT3G24495,141.902057,-0.260169876,0.0569746,-4.566418683,4.96E-06,0.000362191,yes
AT2G40940,333.874706,0.220832837,0.048393554,4.563269688,5.04E-06,0.000366355,yes
AT5G04810,1677.967318,-0.155171968,0.034062756,-4.555473133,5.23E-06,0.000378858,yes
AT3G23390,1599.196859,-0.176727366,0.038810787,-4.553563036,5.27E-06,0.000379805,yes
AT4G18480,7615.574617,-0.149415209,0.032813574,-4.553457404,5.28E-06,0.000379805,yes
AT5G33290,194.2318143,0.486887892,0.106947978,4.552567542,5.30E-06,0.000380072,yes
