gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G05040,0.945165171274207,-3.49826084518165,1.10635317406898,-3.16197478994492,0.00156703129975251,0.0414884316111079,yes,down,0.920548097227278,0.80628350541563,mature_pollen,Flower,tissue_specific
AT1G09180,28.7501272963039,-2.47880264712961,0.500668744944179,-4.95098340401892,7.3839401077493e-07,9.76380889416265e-05,yes,down,0.65647198098181,0.32207976057165,mature_pollen,Flower,tissue_specific
AT1G10680,2.47246733279992,1.80706458322755,0.576766359343519,3.13309636381077,0.00172972643432853,0.0442527946573811,yes,up,0.995404281372307,0.883049133429898,mature_pollen,Flower,tissue_specific
AT1G27720,37.6915694583786,-1.62298840435856,0.345586222287773,-4.69633422772012,2.64872008530344e-06,0.000271056194120814,yes,down,0.951658834797977,0.5510820076783,mature_pollen,Flower,tissue_specific
AT1G54280,12.2668158577964,-2.50689975409674,0.657570287298134,-3.8123677461116,0.000137641882036813,0.00701064759776222,yes,down,0.983169479291579,0.831915788720055,mature_pollen,Flower,tissue_specific
AT1G61080,12.2195979475344,-1.1681901929325,0.295271292910355,-3.95632836981265,7.61105246597873e-05,0.0044897579421489,yes,down,0.992130393892399,0.828556373624955,mature_pollen,Flower,tissue_specific
AT2G13680,10.215239515253,1.13170921751861,0.251977633913387,4.49130821629833,7.078702494851e-06,0.000631103865989803,yes,up,0.969640433829834,0.900377946429958,mature_pollen,Flower,tissue_specific
AT2G20320,284.603114646382,-1.104606013677,0.274526722812717,-4.02367391545547,5.72972367446899e-05,0.0036058958857213,yes,down,0.981972004907507,0.755587531464481,mature_pollen,Flower,tissue_specific
AT2G34920,120.395323251646,-1.42876220784788,0.251365237985369,-5.68400873286642,1.31573554232565e-08,2.8674506907147e-06,yes,down,0.832080589633806,0.384734600015526,mature_pollen,Flower,tissue_specific
AT2G41630,1021.64239081914,-1.55532549962182,0.249039351428964,-6.24530015315855,4.22987044998247e-10,1.34538460515186e-07,yes,down,0.931793171834981,0.383291014888895,mature_pollen,Flower,tissue_specific
AT2G46860,14.2705459986633,-1.38673056106746,0.404978283716039,-3.42420968438842,0.000616590255871958,0.0216284424030675,yes,down,0.974340798350276,0.953746513687366,mature_pollen,Flower,tissue_specific
AT3G27060,7728.31693594848,-3.95999838154942,0.399316705716163,-9.91693641879388,3.51375734328976e-23,8.2703306589011e-20,yes,down,0.792789897917798,0.49290879828475,mature_pollen,Flower,tissue_specific
AT3G28210,128.208418392773,-2.18148049229543,0.45212682892114,-4.82493042383892,1.40052149641351e-06,0.000164820372305424,yes,down,0.98354034647313,0.643481332122412,mature_pollen,Flower,tissue_specific
AT3G57550,926.372401013366,-1.05150769015636,0.249812358824975,-4.20919003007805,2.56287774497295e-05,0.0018560754917978,yes,down,0.918750473797835,0.461422102501015,mature_pollen,Flower,tissue_specific
AT4G24580,70.6402321468106,-1.49200124744626,0.262828416224564,-5.67671208797862,1.37308286697447e-08,2.9115541837818e-06,yes,down,0.982235455845935,0.825607517841828,mature_pollen,Flower,tissue_specific
AT4G27980,14.9830143463499,-1.94148881527433,0.478367648882021,-4.05857047359228,4.93740336998749e-05,0.00316653033022876,yes,down,0.949682574852507,0.710283841213136,mature_pollen,Flower,tissue_specific
AT5G05510,54.2552763508047,1.10373220298892,0.300282731604939,3.67564327488877,0.000237250845708156,0.0105361757649677,yes,up,0.868240903797741,0.441674115774117,mature_pollen,Flower,tissue_specific
AT5G25380,13.2549739769165,1.1219837434907,0.364276649220876,3.08003201931947,0.00206978342135324,0.049990636479534,yes,up,0.79426180458767,0.175827792101362,mature_pollen,Flower,tissue_specific
AT5G56780,186.321613746208,-1.54893288584675,0.232046240993805,-6.6751044068329,2.47056216320842e-11,1.02016880062169e-08,yes,down,0.962392941576407,0.566860593191909,mature_pollen,Flower,tissue_specific
AT5G60250,404.196058798826,-4.49781333223827,0.501450613608217,-8.96960380579455,2.975828946507e-19,3.68642557441765e-16,yes,down,0.947485559144878,0.673254617910805,mature_pollen,Flower,tissue_specific
AT5G60260,2.82184618773584,2.4985986651715,0.641088135472678,3.89743395161925,9.72173245336663e-05,0.00542228475722489,yes,up,0.961177471260487,0.559366106211317,mature_pollen,Flower,tissue_specific
