comparison,organ_1,organ_2,rate_1,rate_2,odds_ratio,pvalue,padj_bonf,higher
Cs137_100cGy,Root,Seedling,2.38,3.03,0.782,0.270969476523734,1,Seedling
Cs137_100cGy,Root,Leaf_Shoot,2.38,0.65,3.725,0.000202949384492264,0.00202949384492264,Root
Cs137_100cGy,Root,Flower,2.38,0.5,4.87,1.14933171891091e-09,1.14933171891091e-08,Root
Cs137_100cGy,Root,Seed_Silique,2.38,1.72,1.394,0.0896767132905112,0.896767132905112,Root
Cs137_100cGy,Seedling,Leaf_Shoot,3.03,0.65,4.761,2.84142559091628e-05,0.000284142559091628,Seedling
Cs137_100cGy,Seedling,Flower,3.03,0.5,6.224,9.30035848608332e-10,9.30035848608332e-09,Seedling
Cs137_100cGy,Seedling,Seed_Silique,3.03,1.72,1.782,0.0138627681848119,0.138627681848119,Seedling
Cs137_100cGy,Leaf_Shoot,Flower,0.65,0.5,1.307,0.625086951812103,1,Leaf_Shoot
Cs137_100cGy,Leaf_Shoot,Seed_Silique,0.65,1.72,0.374,0.0133904552781267,0.133904552781267,Seed_Silique
Cs137_100cGy,Flower,Seed_Silique,0.5,1.72,0.286,1.18431689064037e-05,0.000118431689064037,Seed_Silique
